location_id,longitude,latitude,start_time,duration,speed,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,121.576,24.986,,,,myhome,myhome1,myhome2,myhome3,myhome4,c1,c2,c3,c4,c5
2,121.443,24.433,,,,apple,apple1,apple2,apple3,apple4,c1,c2,c3,c4,c5
3,121.123,24.765,,3.67710900306702,,banana,banana1,banana2,banana3,banana4,c1,c2,c3,c4,c5
4,121.576839140788,24.9864528857556,2020/07/16 16:50:30,0.742090940475464,-1.0,國立政治大學,國立政治大學商學院,萊爾富便利商店,國立政治大學圖書館,國立政治大學商學院圖書分館,university,university,convenience_store,library,library
5,121.576855452029,24.9864613792587,2020/07/16 18:37:11,3432.18039798737,-1.0,國立政治大學,國立政治大學商學院,萊爾富便利商店,國立政治大學商學院圖書分館,國立政治大學圖書館,university,university,convenience_store,library,library
6,121.581535647916,25.0095845455019,2020/07/16 19:34:23,0.763942003250122,,,,,,,,,,,
7,121.581535647916,25.0095845455019,2020/07/16 19:34:23,126.488363027573,-1.0,土地公嶺古道,富德公墓辦公室,富德公墓,富德公墓,富德公墓14區,tourist_attraction,point_of_interest,transit_station,transit_station,transit_station
8,121.57432985428,25.0273157467035,2020/07/16 19:36:29,0.912132024765015,,,,,,,,,,,
9,121.57432985428,25.0273157467035,2020/07/16 19:36:29,1.0124499797821,-1.0,北星寶宮,石頭公觀音廟,信義公園8號公廁,石頭公觀音亭(法雷窟),舊坡福德宮,place_of_worship,place_of_worship,point_of_interest,point_of_interest,place_of_worship
10,121.558394495976,25.0849385690751,2020/07/16 21:53:54,198.14226603508,0.0795054286718369,維多麗亞酒店,美麗華,開璽吾界,三陽機車 - 鎧詮機車行,美麗華,lodging,transit_station,point_of_interest,car_repair,transit_station
11,121.55987944005,25.0846242808749,2020/07/16 21:57:12,1.49523794651031,,,,,,,,,,,
12,121.529165090512,25.0406750398202,2020/07/17 11:51:34,94.1699440479279,8.62602043151855,璽悅產後護理之家 金山館 月子中心,立大輪胎汽車保養廠 /汽車維修中心,藍記麻辣鍋,上海鄉村餐廳 濟南店,媽媽桌球俱樂部 MaMa Pingpong 乒乓球教學練習 卓球Table tennisピンポン,health,car_repair,restaurant,restaurant,point_of_interest
13,121.527204227137,25.0335247414806,2020/07/17 11:53:08,0.682122945785522,,,,,,,,,,,
14,121.527204227137,25.0335247414806,2020/07/17 11:53:08,337.173567056656,-1.0,蜜密牛軋餅,全聯福利中心Pxmart 台北東門,銀翼餐廳,吉野家 東門店,著·咖啡 Draw Coffee 東門店 台北咖啡廳 東門咖啡廳 大安區咖啡廳 台北下午茶 台北手沖咖啡 東門下午茶,store,supermarket,restaurant,restaurant,cafe
15,121.530656317262,25.0292911108596,2020/07/17 11:58:45,0.663661003112793,,,,,,,,,,,
16,121.530656317262,25.0292911108596,2020/07/17 11:58:45,18724.1437950134,-1.0,金華公園,Les Piccola,金華公園地下停車場,Saturn Landing Turkish Coffee 登陸土星土耳其咖啡,O'Steak French Bistro,park,restaurant,parking,cafe,restaurant
17,121.565912118066,25.0345178171632,2020/07/17 17:10:49,0.977635979652405,,,,,,,,,,,
18,121.565912118066,25.0345178171632,2020/07/17 17:10:49,183.142022013664,-1.0,微風南山,時時香 RICE BAR - 微風南山店,UMAMI 金色三麥,i-Ride TAIPEI 無限飛行事務局,YABI KITCHEN,department_store,restaurant,restaurant,point_of_interest,restaurant
