location_id,longitude,latitude,start_date,start_time,weekday,duration,speed,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,121.576,24.986,"7/22

",11:00,4,,,myhome,myhome1,myhome2,myhome3,myhome4,c1,c2,c3,c4,c5
2,121.443,24.433,"7/23
",12:00,5,,,apple,apple1,apple2,apple3,apple4,c1,c2,c3,c4,c5
3,121.123,24.765,7/24,"13:00
",6,649123236.44421,,banana,banana1,banana2,banana3,banana4,c1,c2,c3,c4,c5
4,121.615898439819,25.0582676589097,2020/07/27,15:32,2,649123583.991799,-1.0,中國信託金融園區,PappaRich金爸爸-南港店,欣葉小聚-南港店,文薈館,雅悅會館 旗艦館,point_of_interest,restaurant,restaurant,museum,restaurant
5,121.613140024503,25.0618170759335,2020/07/27,17:07,2,649123585.668348,,,,,,,,,,,
6,121.613140024503,25.0618170759335,2020/07/27,17:13,2,649123278.165463,-1.0,中華潛水推廣協會,原鄭州路牛肉麵,南港抽水站,Coppii Lumii living coffee 冉冉生活,選手村滑雪用品專賣店,point_of_interest,restaurant,local_government_office,cafe,point_of_interest
7,121.61096193207,25.0653676524501,2020/07/27,17:13,2,649123278.656383,,,,,,,,,,,
8,121.61096193207,25.0653676524501,2020/07/27,17:14,2,649123527.167354,-1.0,臺北市立南湖高級中學,臺北市立南湖高中地下停車場,慕昇水電材料行,南湖高中運動中心/游泳池,東湖鴨霸王,secondary_school,parking,point_of_interest,gym,restaurant
9,121.607667169243,25.0725194306071,2020/07/27,17:14,2,649123527.661908,,,,,,,,,,,
10,121.607667169243,25.0725194306071,2020/07/27,17:19,2,649125536.905301,-1.0,葫洲,すき家Sukiya 葫洲店,中華民國律師公會全國聯合會 律師研習所,豆舖子(康寧店),爭鮮迴轉壽司 康寧店,subway_station,restaurant,point_of_interest,restaurant,restaurant
11,121.571063061346,25.0820654947636,2020/07/27,17:19,2,649125537.608165,,,,,,,,,,,
12,121.571063061346,25.0820654947636,2020/07/27,17:57,2,649123878.16718,-1.0,鳳華拉麵 （らぁ麺 鳳華）,山東餃子館,宸燕素食便當店,康青龍 內科園區店,TMMA台北格鬥運動館 內科館,restaurant,restaurant,restaurant,point_of_interest,gym
13,121.560996756959,25.0852526529663,2020/07/27,18:43,2,649123878.739233,,,,,,,,,,,
14,121.560996756959,25.0852526529663,2020/07/27,18:54,2,649123486.164414,-1.0,聯發科技股份有限公司,來來豆漿,太陽科技廣場,夯麵坊西湖店,永祥西點麵包店,point_of_interest,restaurant,point_of_interest,restaurant,bakery
15,121.558245664429,25.0833839135809,2020/07/27,18:59,2,649123486.63899,,,,,,,,,,,
16,121.558245664429,25.0833839135809,2020/07/27,19:03,2,649123802.217767,-1.0,Miramar美麗華摩天輪,美麗華大直影城,しゃぶしゃぶ温野菜日本涮涮鍋專門店 大直美麗華店,時時香RICE BAR - 美麗華店,金色三麥 美麗華店,point_of_interest,movie_theater,restaurant,restaurant,restaurant
17,121.566217988371,25.0820093913417,2020/07/27,21:22,2,649123802.886866,,,,,,,,,,,
18,121.566217988371,25.0820093913417,2020/07/27,21:32,2,649123929.041597,-1.0,（烤）小蒙牛頂級麻辣養生鍋Hotpot-內湖店,中國信託銀行 西湖分行,ALi揚智科技股份有限公司,日盛銀行（內湖分行）,瓦城泰國料理 - 西湖店,restaurant,bank,point_of_interest,bank,restaurant
19,121.563046018996,25.0873423745777,2020/07/27,21:37,2,649123929.686192,,,,,,,,,,,
20,121.563046018996,25.0873423745777,2020/07/27,21:49,2,649123440.483307,-1.0,軟訊資訊有限公司,全家便利商店 文湖店,阿華食堂,全聯福利中心Pxmart 內湖文湖,7-ELEVEN 金湖門市,electronics_store,convenience_store,restaurant,supermarket,convenience_store
21,121.561281109218,25.0864184612287,2020/07/27,22:52,2,649123490.158356,,,,,,,,,,,
22,121.561281109218,25.0864184612287,2020/07/27,22:56,2,649123450.391838,-1.0,聯合光纖通信United Fiber Optic Communication Inc.,大成集團 內湖協調中心,全聯福利中心Pxmart 內湖文湖,流行時尚家居(內湖門市店),台灣太陽誘電股份有限公司,point_of_interest,point_of_interest,supermarket,home_goods_store,point_of_interest
23,121.563022570055,25.0873208472959,2020/07/27,23:06,2,649209614.475282,,,,,,,,,,,
24,121.563085179369,25.0873000729753,2020/07/28,14:25,3,0.0,-1.0,軟訊資訊有限公司,全家便利商店 文湖店,赫里翁 - 接待中心,阿華食堂,Siloam Coffee西羅亞咖啡/茶品/輕食,electronics_store,convenience_store,real_estate_agency,restaurant,cafe
