location_id,longitude,latitude,start_date,start_time,weekday,duration,speed,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,121.576,24.986,2020/07/22,11:00,4,,,myhome,myhome1,myhome2,myhome3,myhome4,c1,c2,c3,c4,c5
2,121.443,24.433,2020/07/23,12:00,5,,,apple,apple1,apple2,apple3,apple4,c1,c2,c3,c4,c5
3,121.123,24.765,2020/07/24,"13:00
",6,,,banana,banana1,banana2,banana3,banana4,c1,c2,c3,c4,c5
4,121.475957644403,25.0333726706312,2020-09-12,00:46,7,0.0,-1.0,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,江翠小館,"Drinks Wines & Spirits Co., Ltd Banqiao Branch",restaurant,convenience_store,restaurant,restaurant,liquor_store
5,121.475957644403,25.0333726706312,2020-09-12,00:46,7,0.0,-1.0,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,江翠小館,"Drinks Wines & Spirits Co., Ltd Banqiao Branch",restaurant,convenience_store,restaurant,restaurant,liquor_store
6,121.475957644403,25.0333726706312,2020-09-12,00:46,7,0.0,-1.0,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,江翠小館,"Drinks Wines & Spirits Co., Ltd Banqiao Branch",restaurant,convenience_store,restaurant,restaurant,liquor_store
7,121.475246535269,25.032572125105,2020-09-12,00:46,7,0.0,-1.0,江翠小館,7-Eleven,Masala Zone Indian Restaurant,潮粥府沙鍋粥,滙豐汽車板橋營業所,restaurant,convenience_store,restaurant,restaurant,car_dealer
8,121.475563979063,25.0327523488351,2020-09-12,01:00,7,0.0,-1.0,江翠小館,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,小喬新疆羊肉串,restaurant,restaurant,convenience_store,restaurant,restaurant
9,121.475563979063,25.0327523488351,2020-09-12,01:00,7,0.0,-1.0,江翠小館,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,小喬新疆羊肉串,restaurant,restaurant,convenience_store,restaurant,restaurant
10,121.475563979063,25.0327523488351,2020-09-12,01:00,7,0.0,-1.0,江翠小館,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,小喬新疆羊肉串,restaurant,restaurant,convenience_store,restaurant,restaurant
11,121.475563979063,25.0327523488351,2020-09-12,01:00,7,0.0,-1.0,江翠小館,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,小喬新疆羊肉串,restaurant,restaurant,convenience_store,restaurant,restaurant
12,121.475563979063,25.0327523488351,2020-09-12,01:00,7,0.0,-1.0,江翠小館,Masala Zone Indian Restaurant,7-Eleven,潮粥府沙鍋粥,小喬新疆羊肉串,restaurant,restaurant,convenience_store,restaurant,restaurant
13,121.474840880571,25.0321346453051,2020-09-12,01:09,7,0.0,-1.0,霸味薑母鴨,Family Mart,滙豐汽車板橋營業所,潮粥府沙鍋粥,7-Eleven,restaurant,convenience_store,car_dealer,restaurant,convenience_store
14,121.4755731094,25.0327892446583,2020-09-12,01:11,7,0.0,-1.0,江翠小館,7-Eleven,Masala Zone Indian Restaurant,小喬新疆羊肉串,潮粥府沙鍋粥,restaurant,convenience_store,restaurant,restaurant,restaurant
15,121.476668766527,25.0343757664385,2020-09-12,01:22,7,0.0,-1.0,山尚碳燒羊肉爐-板橋店,PetPark,雲南燒烤,"Drinks Wines & Spirits Co., Ltd Banqiao Branch",Align Global Corporation,restaurant,pet_store,restaurant,liquor_store,point_of_interest
