location_id,longitude,latitude,start_date,start_time,weekday,duration,speed,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,121.576,24.986,2020/07/22,11:00,4,,,myhome,myhome1,myhome2,myhome3,myhome4,c1,c2,c3,c4,c5
2,121.443,24.433,2020/07/23,12:00,5,,,apple,apple1,apple2,apple3,apple4,c1,c2,c3,c4,c5
3,121.123,24.765,2020/07/24,"13:00
",6,,,banana,banana1,banana2,banana3,banana4,c1,c2,c3,c4,c5
4,121.527291258196,25.1045828250317,2020-09-12,10:39,7,0.0,-1.0,全聯福利中心Pxmart 士林芝山,哥倫布單車俱樂部,永恆美診所,First Commercial Bank,Shilin Lanya Post Office,supermarket,gym,hospital,bank,post_office
5,121.527291258196,25.1045828250317,2020-09-12,10:39,7,0.0,-1.0,全聯福利中心Pxmart 士林芝山,哥倫布單車俱樂部,永恆美診所,First Commercial Bank,Shilin Lanya Post Office,supermarket,gym,hospital,bank,post_office
6,121.527405941716,25.1047356791571,2020-09-12,13:33,7,0.0,-1.0,First Commercial Bank,全聯福利中心Pxmart 士林芝山,御品典藏西服館,哥倫布單車俱樂部,大邱大叔（韓大叔）,bank,supermarket,point_of_interest,gym,restaurant
7,121.527405941716,25.1047356791571,2020-09-12,13:33,7,0.0,-1.0,First Commercial Bank,全聯福利中心Pxmart 士林芝山,御品典藏西服館,哥倫布單車俱樂部,大邱大叔（韓大叔）,bank,supermarket,point_of_interest,gym,restaurant
8,121.527405941716,25.1047356791571,2020-09-12,13:33,7,0.0,-1.0,First Commercial Bank,全聯福利中心Pxmart 士林芝山,御品典藏西服館,哥倫布單車俱樂部,大邱大叔（韓大叔）,bank,supermarket,point_of_interest,gym,restaurant
9,121.527405941716,25.1047356791571,2020-09-12,13:33,7,0.0,-1.0,First Commercial Bank,全聯福利中心Pxmart 士林芝山,御品典藏西服館,哥倫布單車俱樂部,大邱大叔（韓大叔）,bank,supermarket,point_of_interest,gym,restaurant
10,121.527405941716,25.1047356791571,2020-09-12,13:33,7,0.0,-1.0,First Commercial Bank,全聯福利中心Pxmart 士林芝山,御品典藏西服館,哥倫布單車俱樂部,大邱大叔（韓大叔）,bank,supermarket,point_of_interest,gym,restaurant
11,121.526857584332,25.092954114787,2020-09-13,13:21,1,0.0,-1.0,CPC Fulin,CITY PARKING 城市車旅停車場,荷麵亭 Hasumentei,士林捷運站機車停車場,貓咪曬月亮,gas_station,parking,restaurant,parking,point_of_interest
12,121.526857584332,25.092954114787,2020-09-13,13:21,1,0.0,-1.0,CPC Fulin,CITY PARKING 城市車旅停車場,荷麵亭 Hasumentei,士林捷運站機車停車場,貓咪曬月亮,gas_station,parking,restaurant,parking,point_of_interest
13,121.526857584332,25.092954114787,2020-09-13,13:21,1,0.0,-1.0,CPC Fulin,CITY PARKING 城市車旅停車場,荷麵亭 Hasumentei,士林捷運站機車停車場,貓咪曬月亮,gas_station,parking,restaurant,parking,point_of_interest
14,121.526857584332,25.092954114787,2020-09-13,13:21,1,0.0,-1.0,CPC Fulin,CITY PARKING 城市車旅停車場,荷麵亭 Hasumentei,士林捷運站機車停車場,貓咪曬月亮,gas_station,parking,restaurant,parking,point_of_interest
15,121.527065637517,25.0903878332914,2020-09-13,13:21,1,0.0,11.7406282424927,台越美食館,Luv in Crepes 樂芙軟式可麗餅,Tigersugar老虎堂 士林大北店,CITY PARKING 城市車旅停車場,Argent安爵銀飾工房-創意銀飾訂製專家,restaurant,restaurant,cafe,parking,jewelry_store
